Date;Time;lat;lon;id 
27/11/2025;12:00:31;74.177357;-73.294522;198
27/11/2025;18:00:03;74.138381;-73.261562;199
28/11/2025;00:00:31;74.105043;-73.215245;200
28/11/2025;06:00:31;74.053696;-73.082765;201
28/11/2025;12:00:31;73.975392;-72.930266;202
28/11/2025;18:00:31;73.897760;-72.734912;203
29/11/2025;00:00:31;73.829210;-72.437773;204
29/11/2025;06:00:31;73.766886;-72.170784;205
29/11/2025;12:00:31;73.728090;-71.842374;206
29/11/2025;18:00:31;73.712262;-71.559642;207
30/11/2025;00:00:31;73.716205;-71.346035;208
30/11/2025;06:00:31;73.720640;-71.202074;209
30/11/2025;12:00:31;73.706906;-71.118771;210
30/11/2025;18:00:31;73.696045;-71.038291;211
01/12/2025;00:00:31;73.679424;-70.946253;212
01/12/2025;06:00:31;73.658285;-70.780090;213
01/12/2025;12:00:31;73.656346;-70.617766;214
01/12/2025;18:00:31;73.669683;-70.564083;215
02/12/2025;00:00:31;73.685075;-70.522483;216
02/12/2025;06:00:31;73.669376;-70.534272;217
02/12/2025;12:00:31;73.653651;-70.654822;218
02/12/2025;18:00:31;73.662643;-70.800781;219
03/12/2025;00:00:31;73.631322;-70.726259;220
03/12/2025;06:00:31;73.597370;-70.776096;221
03/12/2025;12:00:31;73.543526;-70.663533;222
03/12/2025;18:00:31;73.492806;-70.685658;223
04/12/2025;00:00:31;73.423910;-70.600134;224
04/12/2025;06:00:31;73.358438;-70.648890;225
04/12/2025;12:00:31;73.276928;-70.557683;226
04/12/2025;18:00:31;73.203718;-70.639654;227
05/12/2025;00:00:31;73.183514;-70.463354;228
05/12/2025;06:00:31;73.160211;-70.339072;229
05/12/2025;12:00:32;73.109818;-70.091411;230
05/12/2025;18:00:31;73.052742;-70.057907;231
06/12/2025;00:00:31;72.988966;-69.916947;232
06/12/2025;06:00:31;72.913344;-69.910182;233
06/12/2025;12:00:32;72.824102;-69.774061;234
06/12/2025;18:00:31;72.742291;-69.706720;235
07/12/2025;00:00:31;72.660250;-69.547194;236
07/12/2025;06:00:31;72.578778;-69.468787;237
07/12/2025;12:00:32;72.497478;-69.365261;238
07/12/2025;18:00:31;72.438106;-69.297677;239
08/12/2025;00:00:31;72.373696;-69.181306;240
08/12/2025;06:00:31;72.307430;-69.160147;241
08/12/2025;12:00:32;72.248627;-69.110246;242
08/12/2025;18:00:31;72.189894;-69.104614;243
09/12/2025;00:00:31;72.114874;-69.098931;244
09/12/2025;06:00:31;72.035027;-69.154598;245
09/12/2025;12:00:31;71.945702;-69.169907;246
09/12/2025;18:00:31;71.854861;-69.192781;247
10/12/2025;00:00:31;71.755744;-69.161498;248
10/12/2025;06:00:31;71.657984;-69.120986;249
10/12/2025;12:00:31;71.554189;-68.987878;250
